sample	pop	perf	assay	run	url	date
ERS185028	YRI	ICMB	NA18909.4.M_120208_8	ERR188352	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188352/ERR188352_2.fastq.gz	120208
ERS185239	YRI	ICMB	NA19096.4.M_120208_4	ERR188069	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188069/ERR188069_1.fastq.gz	120208
ERS185239	YRI	ICMB	NA19096.4.M_120208_4	ERR188069	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188069/ERR188069_2.fastq.gz	120208
ERS185203	YRI	ICMB	NA19152.4.M_120208_4	ERR188225	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188225/ERR188225_1.fastq.gz	120208
ERS185203	YRI	ICMB	NA19152.4.M_120208_4	ERR188225	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188225/ERR188225_2.fastq.gz	120208
ERS185348	YRI	ICMB	NA19175.4.M_120208_8	ERR188211	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188211/ERR188211_1.fastq.gz	120208
ERS185348	YRI	ICMB	NA19175.4.M_120208_8	ERR188211	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188211/ERR188211_2.fastq.gz	120208
ERS185093	YRI	ICMB	NA19190.4.M_120208_2	ERR188322	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188322/ERR188322_1.fastq.gz	120208
ERS185093	YRI	ICMB	NA19190.4.M_120208_2	ERR188322	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188322/ERR188322_2.fastq.gz	120208
ERS185460	YRI	ICMB	NA19207.4.M_120208_5	ERR188454	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188454/ERR188454_1.fastq.gz	120208
ERS185460	YRI	ICMB	NA19207.4.M_120208_5	ERR188454	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188454/ERR188454_2.fastq.gz	120208
ERS185068	YRI	ICMB	NA19210.4.M_120208_1	ERR188392	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188392/ERR188392_1.fastq.gz	120208
ERS185068	YRI	ICMB	NA19210.4.M_120208_1	ERR188392	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188392/ERR188392_2.fastq.gz	120208
ERS185141	YRI	ICMB	NA19236.4.M_120208_1	ERR188037	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188037/ERR188037_1.fastq.gz	120208
